Date,Date2,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years
1973-09-01,09/01/73,28033.84,0.39,149.5,125.7,2909,10471,13.1,0.167978848,0.083333333,0.517766497,0.544226044,0.274200613,0.205086891,2014
1973-10-01,10/01/73,28243.84,0.39,140.4,116.5,2909,10471,14.4,0.176728116,0.083333333,0.425380711,0.431203931,0.274200613,0.205086891,2015
1973-11-01,11/01/73,28369.83,0.39,139.4,114.8,2909,10471,14.4,0.181977259,0.083333333,0.415228426,0.41031941,0.274200613,0.205086891,2016
1973-12-01,12/01/73,28558.82,0.39,138.9,115.2,2909,10471,14.8,0.189851183,0.083333333,0.410152284,0.415233415,0.274200613,0.205086891,2017
1974-01-01,01/01/74,28789.81,0.53,147.8,116.2,3152,11147,14.3,0.199474961,0.472222222,0.500507614,0.427518428,0.380639509,0.282886408,2018
1974-02-01,02/01/74,29020.8,0.53,155.1,116.7,3152,11147,14.2,0.209098738,0.472222222,0.574619289,0.433660934,0.380639509,0.282886408,2019
1974-03-01,03/01/74,29335.79,0.53,147.2,111.4,3152,11147,13.4,0.222222222,0.472222222,0.494416244,0.368550369,0.380639509,0.282886408,2020
1974-04-01,04/01/74,29440.79,0.53,141.2,104.3,3152,11147,13.1,0.226596856,0.472222222,0.433502538,0.281326781,0.380639509,0.282886408,2021
1974-05-01,05/01/74,29587.78,0.53,139.9,99,3152,11147,12.8,0.232720926,0.472222222,0.420304569,0.216216216,0.380639509,0.282886408,
1974-06-01,06/01/74,29755.77,0.53,136.9,93.3,3152,11147,12.8,0.239719923,0.472222222,0.389847716,0.146191646,0.380639509,0.282886408,
1974-07-01,07/01/74,29902.77,0.53,143,103.3,3152,11147,12.8,0.245844411,0.472222222,0.45177665,0.269041769,0.380639509,0.282886408,
1974-08-01,08/01/74,30175.76,0.53,148.7,108.3,3152,11147,12.1,0.257218041,0.472222222,0.50964467,0.33046683,0.380639509,0.282886408,
1974-09-01,09/01/74,30469.74,0.53,147,109.5,3152,11147,12.9,0.269466182,0.472222222,0.492385787,0.345208845,0.380639509,0.282886408,
1974-10-01,10/01/74,30721.73,0.53,142,108.5,3152,11147,13.4,0.279964886,0.472222222,0.441624365,0.332923833,0.380639509,0.282886408,
1974-11-01,11/01/74,30952.72,0.53,139.7,111,3152,11147,13.8,0.289588664,0.472222222,0.418274112,0.363636364,0.380639509,0.282886408,
1974-12-01,12/01/74,31435.7,0.53,137.3,112.3,3152,11147,14,0.309711145,0.472222222,0.393908629,0.37960688,0.380639509,0.282886408,
1975-01-01,01/01/75,32033.5,0.57,138.1,114.6,3335,11724,13.2,0.334617392,0.583333333,0.402030457,0.407862408,0.460797197,0.349292209,
1975-02-01,02/01/75,32086.75,0.57,134.2,114.5,3335,11724,12.5,0.336835957,0.583333333,0.362436548,0.406633907,0.460797197,0.349292209,
1975-03-01,03/01/75,32169.16,0.57,132.2,113.3,3335,11724,12.7,0.340269419,0.583333333,0.34213198,0.391891892,0.460797197,0.349292209,
1975-04-01,04/01/75,32222.41,0.57,139.4,115.4,3335,11724,14.2,0.342487983,0.583333333,0.415228426,0.417690418,0.460797197,0.349292209,
1975-05-01,05/01/75,32318.77,0.57,154,122.6,3335,11724,17.3,0.346502647,0.583333333,0.563451777,0.506142506,0.460797197,0.349292209,
1975-06-01,06/01/75,32298.49,0.57,164.5,130.1,3335,11724,14.3,0.345657718,0.583333333,0.670050761,0.598280098,0.460797197,0.349292209,
1975-07-01,07/01/75,32472.18,0.57,167.9,143.3,3335,11724,12.6,0.352894195,0.583333333,0.704568528,0.76044226,0.460797197,0.349292209,
1975-08-01,08/01/75,32664.89,0.57,162.2,149.7,3335,11724,13,0.360923106,0.583333333,0.646700508,0.839066339,0.460797197,0.349292209,
1975-09-01,09/01/75,32994.54,0.57,159.5,153.3,3335,11724,13,0.374657372,0.583333333,0.61928934,0.883292383,0.460797197,0.349292209,
1975-10-01,10/01/75,33239.23,0.57,159.1,158.2,3335,11724,13.4,0.384851935,0.583333333,0.615228426,0.943488943,0.460797197,0.349292209,
1975-11-01,11/01/75,33475.05,0.57,158,153.5,3335,11724,12.7,0.394676946,0.583333333,0.604060914,0.885749386,0.460797197,0.349292209,
1975-12-01,12/01/75,33570.14,0.57,157.4,147.1,3335,11724,12,0.398638697,0.583333333,0.597969543,0.807125307,0.460797197,0.349292209,
1976-01-01,01/01/76,33693.12,0.59,155.4,143.9,3685,12691,11.7,0.403762435,0.638888889,0.577664975,0.767813268,0.614104249,0.460582345,
